Nombre,Sub18,Sub21,Sub23,Senior,Challenge
My Team,2.652173913043478,2.75,2.75,2.869565217391304,
CAFC,1.5,1.0,1.0,4.857142857142857,"['u18', 'u21', 'u23']"
PAS,2.1904761904761907,1.75,2.5555555555555554,3.5238095238095237,"['u18', 'u21', 'u23']"
LMSA,2.6956521739130435,1.75,2.6363636363636362,3.4864864864864864,"['u18', 'u21', 'u23']"
SCF,3.5652173913043477,2.25,3.5,4.666666666666667,['u21']
ffff,2.5217391304347827,2.6666666666666665,2.6666666666666665,2.6666666666666665,"['u18', 'u21', 'u23', 'senior']"
LNM,1.9565217391304348,3.037037037037037,3.324324324324324,3.324324324324324,"['u18', 'u21', 'senior']"
PAS,2.1904761904761907,1.75,2.5555555555555554,3.5238095238095237,"['u18', 'u21', 'u23']"
AMC,2.869565217391304,0,5.0,5.428571428571429,"['u18', 'u21']"
CSyD,2.1538461538461537,1.5,3.3,3.8181818181818183,"['u18', 'u21']"
